title,start_year,runtime,type,orign_country,language,rating,num_votes,release_year,movie_rating,Comedy,Drama,Action,Documentary,Crime,Adventure,Biography,Animation,Reality-TV,Horror,Thriller,Family,Game-Show,Mystery,Romance,Music,Fantasy,Musical,Talk-Show,Sci-Fi,Sport,History,Other
Orange Is the New Black,2013,59,TV Show,United States,English,8.0,282508,2019,adult,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narcos,2015,49,TV Show,United States,English,8.8,370208,2017,adult,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowaway,2021,116,Movie,Germany,English,5.6,33501,2021,adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
You,2018,45,TV Show,United States,English,7.7,153185,2019,adult,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eurovision Song Contest: The Story of Fire Saga,2020,123,Movie,United States,English,6.5,82411,2020,teen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Star Trek: Deep Space Nine,1993,45,TV Show,United States,English,8.0,54768,1999,teen,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feel Good,2020,30,TV Show,United Kingdom,English,7.5,5679,2021,adult,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Good Place,2016,22,TV Show,United States,English,8.2,123422,2020,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Twin Peaks,1990,47,TV Show,United States,English,8.8,179897,1990,teen,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black Summer,2019,40,TV Show,Canada,English,6.4,19908,2021,adult,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal,2013,44,TV Show,United States,English,8.5,233786,2015,adult,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynasty,2017,42,TV Show,United States,English,7.3,16038,2019,teen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glee,2009,44,TV Show,United States,English,6.7,138706,2015,teen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Departed,2006,151,Movie,United States,English,8.5,1216541,2006,adult,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: Voyager,1995,44,TV Show,United States,English,7.8,60973,2000,children,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
